customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
5248-YGIJN,Male,0.0,No,Yes,78.30120792049247,Yes,Yes,DSL,No internet service,No,No,Yes,No,No,Two year,No,Electronic check,83.0788174115826,6215.35,Yes
8773-HHUOZ,Male,0.0,Yes,No,16.06287386308984,Yes,Yes,DSL,Yes,No,Yes,No internet service,No,Yes,One year,No,Credit card (automatic),63.80945954961906,50.15,Yes
3841-NFECX,Male,1.0720283843755514,No,Yes,64.99018105244701,No,No,DSL,Yes,Yes,No,No internet service,No,No,One year,Yes,Bank transfer (automatic),90.79221903115342,54.3,No
4929-XIHVW,Male,0.9842871428271164,Yes,Yes,2.1188212092405365,Yes,No,No,Yes,Yes,No,Yes,No internet service,Yes,One year,No,Bank transfer (automatic),100.54643543811311,3478.75,No
6827-IEAUQ,Male,0.0,No,No,26.80578880450519,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No,No internet service,Two year,No,Bank transfer (automatic),70.56144630905462,3263.9,No
7310-EGVHZ,Male,0.0,Yes,Yes,0.9637583729445679,No,No,No,No,Yes,No,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),20.031333848699965,296.1,No
3413-BMNZE,Female,0.9241475449677456,No,Yes,1.000220750093927,No,Yes,DSL,No internet service,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),45.574349954604884,4065,No
6234-RAAPL,Male,0.0,No,Yes,73.78632484783314,Yes,Yes,No,No internet service,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,100.2193332432231,2104.55,No
6047-YHPVI,Female,0.0,No,No,5.4835654449026645,Yes,No phone service,Fiber optic,Yes,No,No internet service,No internet service,Yes,No internet service,One year,Yes,Bank transfer (automatic),68.10783489901664,5311.85,No
6572-ADKRS,Female,0.0,No,No,43.04006189831513,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No internet service,One year,Yes,Electronic check,79.24043054722544,791.75,Yes
5380-WJKOV,Female,0.0,Yes,Yes,33.73242793334721,No,No,No,No internet service,No internet service,No,No internet service,No internet service,No,One year,No,Credit card (automatic),109.46226086202581,5121.3,No
8168-UQWWF,Female,0.0,Yes,Yes,11.995130795281035,No,No,DSL,No,Yes,Yes,No,Yes,No internet service,Two year,No,Credit card (automatic),102.13008773599142,1062.1,No
8865-TNMNX,Female,0.0,No,Yes,9.683252604071942,Yes,Yes,No,Yes,Yes,No internet service,Yes,No,Yes,One year,Yes,Credit card (automatic),53.60512740124998,439.75,No
9489-DEDVP,Male,0.0,No,Yes,68.80589924010872,No,Yes,No,No,No internet service,No internet service,Yes,No,No,Two year,Yes,Credit card (automatic),75.56757866411002,1801.1,Yes
9867-JCZSP,Male,0.0,No,No,16.923655575801295,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,20.30283427339042,1001.5,Yes
4671-VJLCL,Female,0.0,No,No,61.875477706091324,Yes,No,No,No,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),86.3962145613318,2560.1,No
4080-IIARD,Male,0.0,Yes,No,13.977239108734206,Yes,Yes,No,Yes,No,Yes,Yes,No internet service,No internet service,Two year,No,Bank transfer (automatic),77.37922971967289,90.05,Yes
3714-NTNFO,Male,0.0,Yes,No,48.631981126801094,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,82.75169166484767,3410.6,No
5948-UJZLF,Female,0.0,No,Yes,2.1464643190103834,No,No phone service,No,Yes,No internet service,No,No,Yes,No internet service,Two year,No,Bank transfer (automatic),45.50178312898168,90.6,No
7760-OYPDY,Female,0.0,Yes,Yes,2.0071566483437246,No,No,DSL,No internet service,No,No,No internet service,Yes,No internet service,Two year,No,Credit card (automatic),72.85805900749327,56.25,Yes
7639-LIAYI,Male,0.0,No,Yes,55.55097631279008,No,No,DSL,No,No,No,No,No,No internet service,Two year,Yes,Electronic check,81.50201331222691,6311.2,Yes
2954-PIBKO,Female,0.0,No,No,63.985255055100794,Yes,No,No,No internet service,No internet service,Yes,No,No,No internet service,One year,Yes,Mailed check,60.708623946237076,147.5,Yes
8012-SOUDQ,Male,0.991771621915929,Yes,Yes,44.91014027361333,No,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,98.662589055775,1651.95,Yes
9420-LOJKX,Male,0.0,Yes,No,16.100250387062374,No,No,No,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,96.06575937357233,4968,Yes
6575-SUVOI,Female,0.9512625507950635,No,Yes,22.930254752320074,Yes,Yes,No,Yes,Yes,No,No internet service,Yes,No internet service,One year,No,Mailed check,72.0168669541987,2807.65,Yes
7495-OOKFY,Female,0.9111048991339932,Yes,Yes,7.409305393271252,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),79.94005225691757,2907.55,No
4667-QONEA,Male,0.9189512709006767,No,Yes,62.57777808394779,No,No,Fiber optic,Yes,Yes,No internet service,No,No,Yes,One year,Yes,Credit card (automatic),78.07241030165055,1070.25,Yes
1658-BYGOY,Female,0.9564723927368736,No,No,18.58367341008559,No,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),102.69711757227071,106.9,Yes
8769-KKTPH,Male,0.0,No,No,57.782709128035115,No,No,Fiber optic,No,No,No internet service,Yes,No internet service,Yes,One year,Yes,Mailed check,89.79371317520129,3694.7,No
5067-XJQFU,Female,1.04743236864606,No,No,68.29544040821663,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,116.85707784826977,354.05,Yes
3957-SQXML,Male,0.0,Yes,No,37.12803967756993,No,No,Fiber optic,No,No,No,No,No internet service,No internet service,Two year,No,Electronic check,24.582251631121075,5175.3,Yes
5954-BDFSG,Male,0.0,Yes,Yes,78.9734752818655,No,No phone service,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,Two year,Yes,Credit card (automatic),114.02024019784037,5016.25,Yes
0434-CSFON,Female,0.0,No,Yes,50.89439525461523,No,Yes,Fiber optic,Yes,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.50703363487871,341.45,Yes
1215-FIGMP,Male,0.0,No,No,59.77881600290152,No,No phone service,Fiber optic,Yes,Yes,No internet service,No,No internet service,No,Month-to-month,No,Electronic check,87.35301055557319,6312.9,Yes
0526-SXDJP,Female,0.0,Yes,No,77.21886795419653,Yes,No phone service,No,No,No,Yes,No internet service,Yes,No,Two year,Yes,Credit card (automatic),38.09587665376087,2625.25,No
0557-ASKVU,Male,0.0,No,Yes,19.481927417103943,No,Yes,Fiber optic,No,Yes,No internet service,No internet service,Yes,No internet service,Two year,Yes,Electronic check,58.35445829883099,6448.05,Yes
5698-BQJOH,Female,0.0,No,Yes,9.659475799971007,No,Yes,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No,One year,Yes,Mailed check,101.56974923390575,4674.4,Yes
5122-CYFXA,Male,0.0,Yes,No,3.2985041800326664,No,No,Fiber optic,No,Yes,No,Yes,No internet service,Yes,Two year,Yes,Credit card (automatic),77.36894402701078,4667,Yes
8627-ZYGSZ,Female,0.0,No,Yes,46.269699659176574,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,80.71007524283307,24,Yes
3410-YOQBQ,Female,0.0,No,Yes,31.798717132185146,No,No phone service,No,No internet service,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,82.44368174517622,1948.35,Yes
3170-NMYVV,Female,0.0,No,Yes,53.809240521768174,Yes,No,No,No internet service,No internet service,No internet service,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),19.49167403694277,3008.15,No
7410-OIEDU,Female,0.0,No,No,10.712113268928967,No,Yes,DSL,No internet service,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,76.97884558178862,495.15,No
2273-QCKXA,Female,0.0,No,Yes,0.9785961699816823,Yes,No phone service,Fiber optic,No internet service,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),52.21799059790055,2351.8,No
0731-EBJQB,Female,0.0,No,No,53.10388902076455,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Electronic check,18.93964538111452,1738.9,Yes
1891-QRQSA,Male,0.9803321625814031,Yes,Yes,69.42723725312487,No,No,Fiber optic,Yes,No,No internet service,No internet service,No,No internet service,One year,Yes,Electronic check,109.83426980030593,4916.95,Yes
8028-PNXHQ,Male,0.0,Yes,No,59.86992372584255,No,No phone service,Fiber optic,Yes,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,24.061013165961054,7322.5,Yes
5630-AHZIL,Female,0.0,No,Yes,2.856875573823291,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No,Yes,One year,Yes,Electronic check,64.88616402608912,7658.3,No
2673-CXQEU,Male,0.9189561605985711,Yes,Yes,57.527763401796165,Yes,No,No,No,No,No internet service,Yes,No,Yes,One year,No,Credit card (automatic),101.77747651710412,5064.45,No
6416-JNVRK,Male,0.0,No,No,41.64862996526515,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,52.68331551596775,369.05,No
5590-ZSKRV,Female,0.0,No,No,8.777506910933306,Yes,No phone service,No,Yes,No,No,No,No,No,One year,No,Electronic check,52.39338292414574,6413.65,No
0191-ZHSKZ,Male,1.0589756379487911,No,No,31.592898868082923,No,No,No,No,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Electronic check,75.50425326460856,1549.75,No
3887-PBQAO,Male,0.0,Yes,No,46.34522026498024,Yes,Yes,No,Yes,Yes,No internet service,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),25.800755872598437,2483.65,No
5919-TMRGD,Female,0.0,Yes,No,0.9510129178446763,No,Yes,Fiber optic,Yes,No internet service,No internet service,No,No,No,Two year,Yes,Credit card (automatic),83.18665150929351,446.05,Yes
8108-UXRQN,Female,0.0,No,No,10.223553464478728,No,No phone service,No,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,51.39072602559425,2193,Yes
9191-MYQKX,Female,0.0,No,Yes,7.410151906896971,Yes,No,No,No,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),79.36626924918289,1626.05,No
9919-YLNNG,Female,0.0,Yes,Yes,43.7534045992216,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,No internet service,Two year,No,Electronic check,99.68970961935551,6744.25,Yes
0318-ZOPWS,Female,0.0,No,No,48.18629465191485,No,No phone service,DSL,Yes,Yes,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),20.781450220354262,876.15,Yes
4445-ZJNMU,Male,0.0,No,No,8.75741618164372,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No,No internet service,Two year,No,Credit card (automatic),90.95910647772493,2433.9,Yes
4808-YNLEU,Female,0.0,No,Yes,37.34175467794293,No,No,No,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),66.20517649553781,395.6,Yes
1862-QRWPE,Male,0.0,Yes,No,43.649051894673676,No,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,18.76536307957933,6185.8,Yes
2796-NNUFI,Male,0.0,Yes,Yes,50.5208240297663,Yes,No phone service,No,No,No internet service,Yes,No,No,No internet service,One year,No,Bank transfer (automatic),21.413155986176164,33.2,No
3016-KSVCP,Female,0.0,No,No,29.236830041954505,No,No,DSL,Yes,No,No internet service,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),33.1597009228481,1940.8,Yes
4767-HZZHQ,Male,0.0,No,Yes,28.14221997529518,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,No internet service,Two year,Yes,Credit card (automatic),75.15306857496773,189.2,Yes
2424-WVHPL,Male,1.0096617565825203,Yes,Yes,0.9346653169259956,Yes,No phone service,No,No,No,Yes,No,Yes,No internet service,Two year,No,Credit card (automatic),76.94517955591634,3082.1,Yes
7233-PAHHL,Male,0.0,No,Yes,67.17203642872768,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,Yes,No,One year,No,Credit card (automatic),83.89779383456776,48.95,No
6067-NGCEU,Female,0.0,No,Yes,67.1131635601927,No,Yes,No,No internet service,Yes,No internet service,Yes,Yes,No,Two year,Yes,Mailed check,105.29316657035628,54.75,No
9848-JQJTX,Female,0.0,Yes,Yes,67.12890643136794,Yes,No,DSL,Yes,No,No internet service,Yes,Yes,No internet service,One year,Yes,Bank transfer (automatic),103.23725363343439,1198.8,Yes
8637-XJIVR,Male,0.0,No,No,12.64499436046045,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No internet service,Yes,One year,No,Credit card (automatic),73.39821993535689,6914.95,No
9803-FTJCG,Female,0.0,Yes,Yes,72.90785356477258,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,67.736919044604,280.4,Yes
0278-YXOOG,Male,0.0,No,Yes,5.269263185384037,No,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,19.67421207708263,827.05,Yes
3212-KXOCR,Male,0.0,No,No,52.49215949321088,No,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,23.014440681776136,6925.9,Yes
4598-XLKNJ,Male,0.92603325862517,No,No,24.411183781784946,No,Yes,No,No internet service,No,Yes,No,No internet service,No,Two year,Yes,Bank transfer (automatic),97.03137284288029,2882.25,Yes
6380-ARCEH,Female,0.0,No,No,0.9348801337760066,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No internet service,No,Two year,Yes,Mailed check,21.868380858878382,1070.7,Yes
3679-XASPY,Female,0.0,Yes,Yes,1.0392369909490957,Yes,No,No,Yes,No,No,No,Yes,No internet service,One year,Yes,Mailed check,19.67985629259285,5238.9,Yes
7123-WQUHX,Male,0.0,Yes,Yes,35.670655239303564,No,No phone service,No,No internet service,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),97.20016210808429,1673.4,No
5386-THSLQ,Male,0.9032869226859235,No,Yes,59.827745380193086,No,No,Fiber optic,Yes,No,Yes,No internet service,Yes,Yes,One year,Yes,Electronic check,47.18187356733902,161.15,No
3192-NQECA,Female,0.0,Yes,Yes,71.53705664258831,No,No phone service,No,No,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,106.71743919471598,1108.8,No
6180-YBIQI,Female,0.0,Yes,No,5.252244997629155,No,No,No,Yes,Yes,Yes,No,No internet service,Yes,One year,Yes,Credit card (automatic),26.38907525478047,5655.45,Yes
6728-DKUCO,Male,0.0,No,Yes,76.32830289867312,Yes,Yes,No,No internet service,No,No internet service,Yes,Yes,Yes,One year,No,Electronic check,99.09074996089123,3503.5,Yes
9750-BOOHV,Female,0.0,No,No,32.34004197490248,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,No,Electronic check,27.72942710350267,576.65,No
8597-CWYHH,Male,0.0,Yes,Yes,45.25638439234281,No,No phone service,Fiber optic,Yes,No,Yes,No internet service,Yes,No,Month-to-month,No,Electronic check,86.59536736947976,6075.9,Yes
2848-YXSMW,Female,0.0,Yes,No,74.34661686206287,Yes,No phone service,No,No,No internet service,No internet service,No,No,Yes,Month-to-month,No,Electronic check,18.234177079103638,2651.2,Yes
0486-HECZI,Female,0.0,Yes,No,53.1272525068483,Yes,No phone service,No,No internet service,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),87.36930492546458,1369.8,Yes
4549-ZDQYY,Female,0.0,No,No,50.98826222991033,No,Yes,DSL,Yes,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Mailed check,55.061197763334214,7511.65,Yes
5712-AHQNN,Female,0.0,Yes,No,43.31688076793428,No,No,No,No internet service,Yes,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),83.33498100188433,251.65,No
4846-WHAFZ,Female,0.9344624714443411,Yes,Yes,39.04258745982154,Yes,Yes,No,No internet service,No,No internet service,No internet service,Yes,No,One year,No,Bank transfer (automatic),79.30878235024565,1588.75,Yes
5256-SKJGO,Male,0.0,Yes,Yes,61.1676143616787,Yes,Yes,DSL,No internet service,Yes,Yes,No,No internet service,No internet service,One year,Yes,Electronic check,50.99240432903917,1974.8,Yes
3071-VBYPO,Female,0.0,No,No,2.790502872733624,Yes,No,DSL,No internet service,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,89.96098119647905,415.9,Yes
9560-BBZXK,Female,0.0,No,No,37.340993627295646,No,No phone service,Fiber optic,No,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,29.274793103970037,2724.25,No
5299-RULOA,Female,0.0,No,Yes,10.971669690810952,No,No phone service,No,No internet service,Yes,Yes,Yes,No internet service,Yes,Two year,No,Mailed check,95.14273397099946,61.35,Yes
8402-OOOHJ,Male,0.0,Yes,No,40.05919549926796,No,No phone service,Fiber optic,No,No,Yes,No internet service,Yes,No,One year,No,Electronic check,20.42153091545251,367.55,Yes
9445-ZUEQE,Male,0.0,No,Yes,27.732751200604767,Yes,No,DSL,No,Yes,Yes,No internet service,No internet service,No,One year,No,Electronic check,85.9213062667208,313.4,Yes
1091-SOZGA,Female,0.0,No,Yes,50.5300636193956,Yes,Yes,No,No internet service,No,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,101.10438180445712,1596.6,No
2928-HLDBA,Female,0.0,No,No,6.490561299849564,No,No phone service,DSL,Yes,No,No internet service,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),22.046176998218208,1579.7,No
0404-SWRVG,Female,0.0,No,Yes,2.7568845708229235,No,No,No,No internet service,No internet service,Yes,Yes,No internet service,No internet service,One year,Yes,Credit card (automatic),79.91893804341616,862.4,No
6497-TILVL,Male,0.0,No,Yes,6.914891835903093,No,No,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No internet service,Two year,No,Electronic check,53.698049996215026,121.25,No
7219-TLZHO,Female,0.0,No,No,4.271415969534378,No,No,DSL,No internet service,No internet service,No,No internet service,No,No,Month-to-month,No,Credit card (automatic),20.114120079039928,1513.6,No
4622-YNKIJ,Female,0.0,Yes,No,31.56005813957886,Yes,Yes,No,No,Yes,No,No,No internet service,No,One year,No,Electronic check,80.72598688438579,415.95,No
4412-YLTKF,Female,1.0143857448512805,Yes,Yes,29.638657271997012,No,No phone service,DSL,Yes,No,Yes,Yes,No internet service,Yes,Two year,Yes,Mailed check,73.08910005390464,4039,No
6734-PSBAW,Female,0.0,No,No,76.20397959551406,No,No phone service,DSL,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.060660474463425,1005.7,Yes
3930-ZGWVE,Female,0.0,Yes,Yes,0.9016713941722683,No,No,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,No,Mailed check,21.610743902879946,957.1,No
2639-UGMAZ,Female,0.9043247121619985,No,No,70.22041128330545,Yes,No,DSL,No,Yes,No internet service,No,No internet service,No,Two year,No,Mailed check,52.80761132231684,73.5,No
2876-GZYZC,Male,0.0,No,Yes,12.548091719956085,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),92.30271250897214,3838.2,Yes
6207-WIOLX,Female,0.0,No,No,24.736603625745783,No,No phone service,DSL,No internet service,No internet service,Yes,No,Yes,No,Month-to-month,No,Mailed check,55.41871266130894,7035.6,Yes
8587-XYZSF,Female,0.0,Yes,Yes,64.47547157056579,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,Yes,No internet service,Month-to-month,Yes,Mailed check,46.08051255540767,1411.35,Yes
3091-FYHKI,Male,0.0,Yes,No,0.9763303781349321,No,Yes,No,Yes,No,No,No,No internet service,Yes,One year,Yes,Mailed check,32.83843342455706,876.75,No
2372-HWUHI,Female,0.0,No,Yes,2.020296989929482,Yes,Yes,No,Yes,No,Yes,No internet service,No internet service,Yes,Two year,No,Bank transfer (automatic),40.03499752496154,211.95,Yes
7799-LGRDP,Male,0.0,Yes,Yes,45.12911977019887,No,No phone service,Fiber optic,No internet service,Yes,No,No,No,No internet service,One year,Yes,Bank transfer (automatic),23.254198888176898,5438.95,No
7850-VWJUU,Male,0.0,No,Yes,23.253955563708143,Yes,Yes,DSL,Yes,No internet service,No internet service,No,No internet service,Yes,Two year,Yes,Credit card (automatic),80.94972175998059,1336.65,No
3774-VBNXY,Female,0.0,Yes,No,61.876717014356544,No,No,No,No internet service,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,21.77139565324311,45.4,No
6217-KDYWC,Female,0.0,Yes,Yes,56.78718282033136,Yes,No,Fiber optic,Yes,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,19.82591717291797,1413,No
0390-DCFDQ,Male,0.9653941105268963,No,No,0.9409023818493002,No,Yes,DSL,No internet service,Yes,No,Yes,No internet service,No internet service,One year,Yes,Electronic check,72.64766271927226,712.85,Yes
3146-MSEGF,Male,0.9896043757751912,Yes,Yes,69.50285671341166,Yes,No,No,No internet service,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),84.54863569352005,3590.2,No
4080-OGPJL,Male,0.0,Yes,Yes,8.157002180627428,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,Yes,No,Month-to-month,No,Bank transfer (automatic),68.7219588981837,1597.25,Yes
1095-WGNGG,Female,0.0,No,Yes,55.6412538614415,Yes,No phone service,DSL,No internet service,No internet service,No internet service,Yes,No,Yes,One year,No,Mailed check,102.96661017898263,5711.05,No
2636-SJDOU,Male,0.0,Yes,Yes,68.97425309928367,Yes,No phone service,DSL,No,No internet service,Yes,No internet service,Yes,Yes,Two year,Yes,Mailed check,84.71574386302116,617.85,No
1131-QQZEB,Female,0.9944088902690285,No,Yes,72.59865573050357,No,Yes,DSL,No,No internet service,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,21.755698585031443,740,Yes
